"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"
Sunnyside/Woodside,Non-Citizens,2014,Percent,0.35632,402
Ridgewood/Glendale,Non-Citizens,2014,Percent,0.16416,405
Woodhaven,Non-Citizens,2014,Percent,0.21567,409
Jamaica/St. Albans,Non-Citizens,2014,Percent,0.16654,412
Howard Beach,Non-Citizens,2014,Percent,0.16156,410
The Rockaways,Non-Citizens,2014,Percent,0.10025,414
Bronx,Non-Citizens,2014,Percent,0.18776,36005
Brooklyn,Non-Citizens,2014,Percent,0.1565,36047
Manhattan,Non-Citizens,2014,Percent,0.15124,36061
Queens,Non-Citizens,2014,Percent,0.21256,36081
Staten Island,Non-Citizens,2014,Percent,0.07503,36085
New York City,Non-Citizens,2014,Percent,0.17157,3651000
Riverdale,Native Citizen,2015,Number,73413,208
Williamsbridge,Native Citizen,2015,Number,86121,212
Throgs Neck,Native Citizen,2015,Number,92262,210
Pelham Parkway,Native Citizen,2015,Number,88256,211
Morrisania,Native Citizen,2015,Number,60589.37376,203
East Tremont,Native Citizen,2015,Number,63252.62624,206
Bedford Park,Native Citizen,2015,Number,73145,207
University Heights,Native Citizen,2015,Number,84648,205
Concourse/Highbridge,Native Citizen,2015,Number,87162,204
Unionport/Soundview,Native Citizen,2015,Number,118004,209
Mott Haven,Native Citizen,2015,Number,72711.67157,201
Hunts Point,Native Citizen,2015,Number,41519.32843,202
Washington Heights,Native Citizen,2015,Number,121707,112
Manhattanville,Native Citizen,2015,Number,85457,109
Central Harlem,Native Citizen,2015,Number,108973,110
East Harlem,Native Citizen,2015,Number,96483,111
Upper East Side,Native Citizen,2015,Number,166509,108
Upper West Side,Native Citizen,2015,Number,146849,107
Chelsea/Clinton,Native Citizen,2015,Number,75812.61196,104
Midtown Business District,Native Citizen,2015,Number,37943.38804,105
Murray Hill/Stuyvesant,Native Citizen,2015,Number,105477,106
Lower East Side,Native Citizen,2015,Number,105428,103
Battery Park/Tribeca,Native Citizen,2015,Number,46095.94987,101
Greenwich Village,Native Citizen,2015,Number,68047.05013,102
Tottenville,Native Citizen,2015,Number,142420,503
South Beach,Native Citizen,2015,Number,100666,502
St. George,Native Citizen,2015,Number,125418,501
Williamsburg/Greenpoint,Native Citizen,2015,Number,122923,301
Bushwick,Native Citizen,2015,Number,84306,304
Bedford Stuyvesant,Native Citizen,2015,Number,121838,303
Fort Greene/Brooklyn Hts,Native Citizen,2015,Number,108439,302
Park Slope,Native Citizen,2015,Number,95802,306
Crown Heights North,Native Citizen,2015,Number,91528,308
Brownsville,Native Citizen,2015,Number,87877,316
East New York,Native Citizen,2015,Number,97500,305
Canarsie,Native Citizen,2015,Number,130776,318
East Flatbush,Native Citizen,2015,Number,67121,317
Crown Heights South,Native Citizen,2015,Number,65121,309
Sunset Park,Native Citizen,2015,Number,77392,307
Bay Ridge,Native Citizen,2015,Number,72740,310
Borough Park,Native Citizen,2015,Number,113797,312
Flatbush/Midwood,Native Citizen,2015,Number,95503,314
Sheepshead Bay,Native Citizen,2015,Number,72019,315
Bensonhurst,Native Citizen,2015,Number,81692,311
Coney Island,Native Citizen,2015,Number,58106,313
Astoria,Native Citizen,2015,Number,102750,401
Jackson Heights,Native Citizen,2015,Number,76633,403
Flushing,Native Citizen,2015,Number,101429,407
Bayside,Native Citizen,2015,Number,62350,411
Queens Village,Native Citizen,2015,Number,117693,413
Fresh Meadows/Briarwood,Native Citizen,2015,Number,82014,408
Elmhurst/Corona,Native Citizen,2015,Number,46563,404
Rego Park/Forest Hills,Native Citizen,2015,Number,65722,406
Sunnyside/Woodside,Native Citizen,2015,Number,67385,402
Ridgewood/Glendale,Native Citizen,2015,Number,111529,405
Woodhaven,Native Citizen,2015,Number,79102,409
Jamaica/St. Albans,Native Citizen,2015,Number,144554,412
Howard Beach,Native Citizen,2015,Number,72405,410
The Rockaways,Native Citizen,2015,Number,89006,414
Bronx,Native Citizen,2015,Number,941084,36005
Brooklyn,Native Citizen,2015,Number,1644480,36047
Manhattan,Native Citizen,2015,Number,1164782,36061
Queens,Native Citizen,2015,Number,1219055,36081
Staten Island,Native Citizen,2015,Number,368504,36085
New York City,Native Citizen,2015,Number,5337905,3651000
Riverdale,Native Citizen,2015,Percent,0.65253,208
Williamsbridge,Native Citizen,2015,Percent,0.59175,212
Throgs Neck,Native Citizen,2015,Percent,0.79507,210
Pelham Parkway,Native Citizen,2015,Percent,0.66073,211
Morrisania,Native Citizen,2015,Percent,0.70275,203
East Tremont,Native Citizen,2015,Percent,0.70275,206
Bedford Park,Native Citizen,2015,Percent,0.56316,207
University Heights,Native Citizen,2015,Percent,0.58785,205
Concourse/Highbridge,Native Citizen,2015,Percent,0.5649,204
Unionport/Soundview,Native Citizen,2015,Percent,0.66182,209
Mott Haven,Native Citizen,2015,Percent,0.69195,201
Hunts Point,Native Citizen,2015,Percent,0.69195,202
Washington Heights,Native Citizen,2015,Percent,0.53538,112
Manhattanville,Native Citizen,2015,Percent,0.64433,109
Central Harlem,Native Citizen,2015,Percent,0.77722,110
East Harlem,Native Citizen,2015,Percent,0.78804,111
Upper East Side,Native Citizen,2015,Percent,0.77601,108
Upper West Side,Native Citizen,2015,Percent,0.77359,107
Chelsea/Clinton,Native Citizen,2015,Percent,0.71273,104
Midtown Business District,Native Citizen,2015,Percent,0.71273,105
Murray Hill/Stuyvesant,Native Citizen,2015,Percent,0.75033,106
Lower East Side,Native Citizen,2015,Percent,0.64271,103
Battery Park/Tribeca,Native Citizen,2015,Percent,0.74456,101
Greenwich Village,Native Citizen,2015,Percent,0.74456,102
Tottenville,Native Citizen,2015,Percent,0.84956,503
South Beach,Native Citizen,2015,Percent,0.73674,502
St. George,Native Citizen,2015,Percent,0.73654,501
Williamsburg/Greenpoint,Native Citizen,2015,Percent,0.73247,301
Bushwick,Native Citizen,2015,Percent,0.69098,304
Bedford Stuyvesant,Native Citizen,2015,Percent,0.80764,303
Fort Greene/Brooklyn Hts,Native Citizen,2015,Percent,0.8053,302
Park Slope,Native Citizen,2015,Percent,0.81856,306
Crown Heights North,Native Citizen,2015,Percent,0.69707,308
Brownsville,Native Citizen,2015,Percent,0.6894,316
East New York,Native Citizen,2015,Percent,0.61415,305
Canarsie,Native Citizen,2015,Percent,0.61328,318
East Flatbush,Native Citizen,2015,Percent,0.46929,317
Crown Heights South,Native Citizen,2015,Percent,0.56582,309
Sunset Park,Native Citizen,2015,Percent,0.51673,307
Bay Ridge,Native Citizen,2015,Percent,0.59419,310
Borough Park,Native Citizen,2015,Percent,0.70308,312
Flatbush/Midwood,Native Citizen,2015,Percent,0.58426,314
Sheepshead Bay,Native Citizen,2015,Percent,0.48887,315
Bensonhurst,Native Citizen,2015,Percent,0.43485,311
Coney Island,Native Citizen,2015,Percent,0.47325,313
Astoria,Native Citizen,2015,Percent,0.5856,401
Jackson Heights,Native Citizen,2015,Percent,0.41109,403
Flushing,Native Citizen,2015,Percent,0.40998,407
Bayside,Native Citizen,2015,Percent,0.54903,411
Queens Village,Native Citizen,2015,Percent,0.57973,413
Fresh Meadows/Briarwood,Native Citizen,2015,Percent,0.50747,408
Elmhurst/Corona,Native Citizen,2015,Percent,0.35927,404
Rego Park/Forest Hills,Native Citizen,2015,Percent,0.5137,406
Sunnyside/Woodside,Native Citizen,2015,Percent,0.46505,402
Ridgewood/Glendale,Native Citizen,2015,Percent,0.59815,405
Woodhaven,Native Citizen,2015,Percent,0.49914,409
Jamaica/St. Albans,Native Citizen,2015,Percent,0.58537,412
Howard Beach,Native Citizen,2015,Percent,0.53298,410
The Rockaways,Native Citizen,2015,Percent,0.73199,414
Bronx,Native Citizen,2015,Percent,0.6466,36005
Brooklyn,Native Citizen,2015,Percent,0.62368,36047
Manhattan,Native Citizen,2015,Percent,0.70828,36061
Queens,Native Citizen,2015,Percent,0.52115,36081
Staten Island,Native Citizen,2015,Percent,0.77652,36085
New York City,Native Citizen,2015,Percent,0.62429,3651000
Riverdale,Naturalized Citizen,2015,Number,23089,208
Williamsbridge,Naturalized Citizen,2015,Number,37492,212
Throgs Neck,Naturalized Citizen,2015,Number,15855,210
Pelham Parkway,Naturalized Citizen,2015,Number,23074,211
Morrisania,Naturalized Citizen,2015,Number,11701.32953,203
East Tremont,Naturalized Citizen,2015,Number,12215.67047,206
Bedford Park,Naturalized Citizen,2015,Number,27689,207
University Heights,Naturalized Citizen,2015,Number,24989,205
Concourse/Highbridge,Naturalized Citizen,2015,Number,28767,204
Unionport/Soundview,Naturalized Citizen,2015,Number,28248,209
Mott Haven,Naturalized Citizen,2015,Number,12973.15596,201
Hunts Point,Naturalized Citizen,2015,Number,7407.84404,202
Washington Heights,Naturalized Citizen,2015,Number,51043,112
Manhattanville,Naturalized Citizen,2015,Number,18290,109
Central Harlem,Naturalized Citizen,2015,Number,13415,110
East Harlem,Naturalized Citizen,2015,Number,12384,111
Upper East Side,Naturalized Citizen,2015,Number,20571,108
Upper West Side,Naturalized Citizen,2015,Number,20047,107
Chelsea/Clinton,Naturalized Citizen,2015,Number,13466.94196,104
Midtown Business District,Naturalized Citizen,2015,Number,6740.05804,105
Murray Hill/Stuyvesant,Naturalized Citizen,2015,Number,17518,106
Lower East Side,Naturalized Citizen,2015,Number,36309,103
Battery Park/Tribeca,Naturalized Citizen,2015,Number,6195.77252,101
Greenwich Village,Naturalized Citizen,2015,Number,9146.22748,102
Tottenville,Naturalized Citizen,2015,Number,18628,503
South Beach,Naturalized Citizen,2015,Number,26268,502
St. George,Naturalized Citizen,2015,Number,25197,501
Williamsburg/Greenpoint,Naturalized Citizen,2015,Number,23446,301
Bushwick,Naturalized Citizen,2015,Number,14820,304
Bedford Stuyvesant,Naturalized Citizen,2015,Number,15447,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2015,Number,12145,302
Park Slope,Naturalized Citizen,2015,Number,11134,306
Crown Heights North,Naturalized Citizen,2015,Number,22388,308
Brownsville,Naturalized Citizen,2015,Number,22651,316
East New York,Naturalized Citizen,2015,Number,32755,305
Canarsie,Naturalized Citizen,2015,Number,62447,318
East Flatbush,Naturalized Citizen,2015,Number,50242,317
Crown Heights South,Naturalized Citizen,2015,Number,31137,309
Sunset Park,Naturalized Citizen,2015,Number,25711,307
Bay Ridge,Naturalized Citizen,2015,Number,29968,310
Borough Park,Naturalized Citizen,2015,Number,29192,312
Flatbush/Midwood,Naturalized Citizen,2015,Number,40558,314
Sheepshead Bay,Naturalized Citizen,2015,Number,52597,315
Bensonhurst,Naturalized Citizen,2015,Number,61111,311
Coney Island,Naturalized Citizen,2015,Number,43239,313
Astoria,Naturalized Citizen,2015,Number,40591,401
Jackson Heights,Naturalized Citizen,2015,Number,41192,403
Flushing,Naturalized Citizen,2015,Number,78154,407
Bayside,Naturalized Citizen,2015,Number,35591,411
Queens Village,Naturalized Citizen,2015,Number,60615,413
Fresh Meadows/Briarwood,Naturalized Citizen,2015,Number,54332,408
Elmhurst/Corona,Naturalized Citizen,2015,Number,41467,404
Rego Park/Forest Hills,Naturalized Citizen,2015,Number,42016,406
Sunnyside/Woodside,Naturalized Citizen,2015,Number,31152,402
Ridgewood/Glendale,Naturalized Citizen,2015,Number,40147,405
Woodhaven,Naturalized Citizen,2015,Number,45900,409
Jamaica/St. Albans,Naturalized Citizen,2015,Number,62737,412
Howard Beach,Naturalized Citizen,2015,Number,41947,410
The Rockaways,Naturalized Citizen,2015,Number,18617,414
Bronx,Naturalized Citizen,2015,Number,253501,36005
Brooklyn,Naturalized Citizen,2015,Number,580988,36047
Manhattan,Naturalized Citizen,2015,Number,225126,36061
Queens,Naturalized Citizen,2015,Number,634458,36081
Staten Island,Naturalized Citizen,2015,Number,70093,36085
New York City,Naturalized Citizen,2015,Number,1764166,3651000
Riverdale,Naturalized Citizen,2015,Percent,0.20523,208
Williamsbridge,Naturalized Citizen,2015,Percent,0.25761,212
Throgs Neck,Naturalized Citizen,2015,Percent,0.13663,210
Pelham Parkway,Naturalized Citizen,2015,Percent,0.17274,211
Morrisania,Naturalized Citizen,2015,Percent,0.13572,203
East Tremont,Naturalized Citizen,2015,Percent,0.13572,206
Bedford Park,Naturalized Citizen,2015,Percent,0.21318,207
University Heights,Naturalized Citizen,2015,Percent,0.17354,205
Concourse/Highbridge,Naturalized Citizen,2015,Percent,0.18644,204
Unionport/Soundview,Naturalized Citizen,2015,Percent,0.15843,209
Mott Haven,Naturalized Citizen,2015,Percent,0.12346,201
Hunts Point,Naturalized Citizen,2015,Percent,0.12346,202
Washington Heights,Naturalized Citizen,2015,Percent,0.22453,112
Manhattanville,Naturalized Citizen,2015,Percent,0.1379,109
Central Harlem,Naturalized Citizen,2015,Percent,0.09568,110
East Harlem,Naturalized Citizen,2015,Percent,0.10115,111
Upper East Side,Naturalized Citizen,2015,Percent,0.09587,108
Upper West Side,Naturalized Citizen,2015,Percent,0.10561,107
Chelsea/Clinton,Naturalized Citizen,2015,Percent,0.12661,104
Midtown Business District,Naturalized Citizen,2015,Percent,0.12661,105
Murray Hill/Stuyvesant,Naturalized Citizen,2015,Percent,0.12462,106
Lower East Side,Naturalized Citizen,2015,Percent,0.22135,103
Battery Park/Tribeca,Naturalized Citizen,2015,Percent,0.10008,101
Greenwich Village,Naturalized Citizen,2015,Percent,0.10008,102
Tottenville,Naturalized Citizen,2015,Percent,0.11112,503
South Beach,Naturalized Citizen,2015,Percent,0.19225,502
St. George,Naturalized Citizen,2015,Percent,0.14797,501
Williamsburg/Greenpoint,Naturalized Citizen,2015,Percent,0.13971,301
Bushwick,Naturalized Citizen,2015,Percent,0.12147,304
Bedford Stuyvesant,Naturalized Citizen,2015,Percent,0.10239,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2015,Percent,0.09019,302
Park Slope,Naturalized Citizen,2015,Percent,0.09513,306
Crown Heights North,Naturalized Citizen,2015,Percent,0.17051,308
Brownsville,Naturalized Citizen,2015,Percent,0.1777,316
East New York,Naturalized Citizen,2015,Percent,0.20632,305
Canarsie,Naturalized Citizen,2015,Percent,0.29285,318
East Flatbush,Naturalized Citizen,2015,Percent,0.35127,317
Crown Heights South,Naturalized Citizen,2015,Percent,0.27054,309
Sunset Park,Naturalized Citizen,2015,Percent,0.17167,307
Bay Ridge,Naturalized Citizen,2015,Percent,0.2448,310
Borough Park,Naturalized Citizen,2015,Percent,0.18036,312
Flatbush/Midwood,Naturalized Citizen,2015,Percent,0.24812,314
Sheepshead Bay,Naturalized Citizen,2015,Percent,0.35703,315
Bensonhurst,Naturalized Citizen,2015,Percent,0.3253,311
Coney Island,Naturalized Citizen,2015,Percent,0.35216,313
Astoria,Naturalized Citizen,2015,Percent,0.23134,401
Jackson Heights,Naturalized Citizen,2015,Percent,0.22097,403
Flushing,Naturalized Citizen,2015,Percent,0.3159,407
Bayside,Naturalized Citizen,2015,Percent,0.3134,411
Queens Village,Naturalized Citizen,2015,Percent,0.29858,413
Fresh Meadows/Briarwood,Naturalized Citizen,2015,Percent,0.33619,408
Elmhurst/Corona,Naturalized Citizen,2015,Percent,0.31995,404
Rego Park/Forest Hills,Naturalized Citizen,2015,Percent,0.32841,406
Sunnyside/Woodside,Naturalized Citizen,2015,Percent,0.21499,402
Ridgewood/Glendale,Naturalized Citizen,2015,Percent,0.21531,405
Woodhaven,Naturalized Citizen,2015,Percent,0.28963,409
Jamaica/St. Albans,Naturalized Citizen,2015,Percent,0.25405,412
Howard Beach,Naturalized Citizen,2015,Percent,0.30878,410
The Rockaways,Naturalized Citizen,2015,Percent,0.15311,414
Bronx,Naturalized Citizen,2015,Percent,0.17417,36005
Brooklyn,Naturalized Citizen,2015,Percent,0.22034,36047
Manhattan,Naturalized Citizen,2015,Percent,0.13689,36061
Queens,Naturalized Citizen,2015,Percent,0.27123,36081
Staten Island,Naturalized Citizen,2015,Percent,0.1477,36085
New York City,Naturalized Citizen,2015,Percent,0.20633,3651000
Riverdale,Non-Citizens,2015,Number,16003,208
Williamsbridge,Non-Citizens,2015,Number,21923,212
Throgs Neck,Non-Citizens,2015,Number,7925,210
Pelham Parkway,Non-Citizens,2015,Number,22243,211
Morrisania,Non-Citizens,2015,Number,13927.4051,203
East Tremont,Non-Citizens,2015,Number,14539.5949,206
Bedford Park,Non-Citizens,2015,Number,29050,207
University Heights,Non-Citizens,2015,Number,34359,205
Concourse/Highbridge,Non-Citizens,2015,Number,38367,204
Unionport/Soundview,Non-Citizens,2015,Number,32049,209
Mott Haven,Non-Citizens,2015,Number,19397.03555,201
Hunts Point,Non-Citizens,2015,Number,11075.96445,202
Washington Heights,Non-Citizens,2015,Number,54578,112
Manhattanville,Non-Citizens,2015,Number,28883,109
Central Harlem,Non-Citizens,2015,Number,17821,110
East Harlem,Non-Citizens,2015,Number,13567,111
Upper East Side,Non-Citizens,2015,Number,27491,108
Upper West Side,Non-Citizens,2015,Number,22931,107
Chelsea/Clinton,Non-Citizens,2015,Number,17089.76062,104
Midtown Business District,Non-Citizens,2015,Number,8553.23938,105
Murray Hill/Stuyvesant,Non-Citizens,2015,Number,17580,106
Lower East Side,Non-Citizens,2015,Number,22299,103
Battery Park/Tribeca,Non-Citizens,2015,Number,9618.34925,101
Greenwich Village,Non-Citizens,2015,Number,14198.65075,102
Tottenville,Non-Citizens,2015,Number,6592,503
South Beach,Non-Citizens,2015,Number,9704,502
St. George,Non-Citizens,2015,Number,19665,501
Williamsburg/Greenpoint,Non-Citizens,2015,Number,21451,301
Bushwick,Non-Citizens,2015,Number,22884,304
Bedford Stuyvesant,Non-Citizens,2015,Number,13572,303
Fort Greene/Brooklyn Hts,Non-Citizens,2015,Number,14072,302
Park Slope,Non-Citizens,2015,Number,10101,306
Crown Heights North,Non-Citizens,2015,Number,17387,308
Brownsville,Non-Citizens,2015,Number,16940,316
East New York,Non-Citizens,2015,Number,28501,305
Canarsie,Non-Citizens,2015,Number,20019,318
East Flatbush,Non-Citizens,2015,Number,25665,317
Crown Heights South,Non-Citizens,2015,Number,18834,309
Sunset Park,Non-Citizens,2015,Number,46670,307
Bay Ridge,Non-Citizens,2015,Number,19710,310
Borough Park,Non-Citizens,2015,Number,18867,312
Flatbush/Midwood,Non-Citizens,2015,Number,27398,314
Sheepshead Bay,Non-Citizens,2015,Number,22702,315
Bensonhurst,Non-Citizens,2015,Number,45058,311
Coney Island,Non-Citizens,2015,Number,21436,313
Astoria,Non-Citizens,2015,Number,32119,401
Jackson Heights,Non-Citizens,2015,Number,68590,403
Flushing,Non-Citizens,2015,Number,67815,407
Bayside,Non-Citizens,2015,Number,15622,411
Queens Village,Non-Citizens,2015,Number,24705,413
Fresh Meadows/Briarwood,Non-Citizens,2015,Number,25266,408
Elmhurst/Corona,Non-Citizens,2015,Number,41576,404
Rego Park/Forest Hills,Non-Citizens,2015,Number,20200,406
Sunnyside/Woodside,Non-Citizens,2015,Number,46362,402
Ridgewood/Glendale,Non-Citizens,2015,Number,34782,405
Woodhaven,Non-Citizens,2015,Number,33476,409
Jamaica/St. Albans,Non-Citizens,2015,Number,39655,412
Howard Beach,Non-Citizens,2015,Number,21497,410
The Rockaways,Non-Citizens,2015,Number,13972,414
Bronx,Non-Citizens,2015,Number,260859,36005
Brooklyn,Non-Citizens,2015,Number,411267,36047
Manhattan,Non-Citizens,2015,Number,254610,36061
Queens,Non-Citizens,2015,Number,485637,36081
Staten Island,Non-Citizens,2015,Number,35961,36085
New York City,Non-Citizens,2015,Number,1448334,3651000
Riverdale,Non-Citizens,2015,Percent,0.14224,208
Williamsbridge,Non-Citizens,2015,Percent,0.15064,212
Throgs Neck,Non-Citizens,2015,Percent,0.06829,210
Pelham Parkway,Non-Citizens,2015,Percent,0.16652,211
Morrisania,Non-Citizens,2015,Percent,0.16154,203
East Tremont,Non-Citizens,2015,Percent,0.16154,206
Bedford Park,Non-Citizens,2015,Percent,0.22366,207
University Heights,Non-Citizens,2015,Percent,0.23861,205
Concourse/Highbridge,Non-Citizens,2015,Percent,0.24866,204
Unionport/Soundview,Non-Citizens,2015,Percent,0.17975,209
Mott Haven,Non-Citizens,2015,Percent,0.18459,201
Hunts Point,Non-Citizens,2015,Percent,0.18459,202
Washington Heights,Non-Citizens,2015,Percent,0.24008,112
Manhattanville,Non-Citizens,2015,Percent,0.21777,109
Central Harlem,Non-Citizens,2015,Percent,0.1271,110
East Harlem,Non-Citizens,2015,Percent,0.11081,111
Upper East Side,Non-Citizens,2015,Percent,0.12812,108
Upper West Side,Non-Citizens,2015,Percent,0.1208,107
Chelsea/Clinton,Non-Citizens,2015,Percent,0.16066,104
Midtown Business District,Non-Citizens,2015,Percent,0.16066,105
Murray Hill/Stuyvesant,Non-Citizens,2015,Percent,0.12506,106
Lower East Side,Non-Citizens,2015,Percent,0.13594,103
Battery Park/Tribeca,Non-Citizens,2015,Percent,0.15536,101
Greenwich Village,Non-Citizens,2015,Percent,0.15536,102
Tottenville,Non-Citizens,2015,Percent,0.03932,503
South Beach,Non-Citizens,2015,Percent,0.07102,502
St. George,Non-Citizens,2015,Percent,0.11549,501
Williamsburg/Greenpoint,Non-Citizens,2015,Percent,0.12782,301
Bushwick,Non-Citizens,2015,Percent,0.18756,304
Bedford Stuyvesant,Non-Citizens,2015,Percent,0.08997,303
Fort Greene/Brooklyn Hts,Non-Citizens,2015,Percent,0.1045,302
